gamecode_full,gamecode_num,date,group,round,home_team_code,away_team_code,home_score,away_score,season_code
E2025_258,258,2026-02-03T00:00:00+00:00,Regular Season,RS,PAN,MAD,82,81,E2025
E2025_259,259,2026-02-03T00:00:00+00:00,Regular Season,RS,ZAL,MCO,104,87,E2025
E2025_260,260,2026-02-04T00:00:00+00:00,Regular Season,RS,VIR,ASV,70,80,E2025
E2025_261,261,2026-02-05T00:00:00+00:00,Regular Season,RS,DUB,MAD,93,85,E2025
E2025_262,262,2026-02-05T00:00:00+00:00,Regular Season,RS,MUN,MCO,91,82,E2025
E2025_263,263,2026-02-05T00:00:00+00:00,Regular Season,RS,HTA,PAM,99,104,E2025
E2025_264,264,2026-02-05T00:00:00+00:00,Regular Season,RS,PRS,ULK,90,92,E2025
E2025_265,265,2026-02-05T00:00:00+00:00,Regular Season,RS,PAR,PAN,78,62,E2025
E2025_266,266,2026-02-06T00:00:00+00:00,Regular Season,RS,IST,ZAL,92,82,E2025
E2025_267,267,2026-02-06T00:00:00+00:00,Regular Season,RS,BAS,BAR,91,97,E2025
E2025_268,268,2026-02-06T00:00:00+00:00,Regular Season,RS,RED,TEL,82,83,E2025
E2025_269,269,2026-02-06T00:00:00+00:00,Regular Season,RS,ASV,MIL,76,77,E2025
E2025_270,270,2026-02-06T00:00:00+00:00,Regular Season,RS,OLY,VIR,109,77,E2025
E2025_271,271,2026-02-12T00:00:00+00:00,Regular Season,RS,IST,VIR,91,60,E2025
E2025_272,272,2026-02-12T00:00:00+00:00,Regular Season,RS,OLY,RED,92,86,E2025
E2025_273,273,2026-02-12T00:00:00+00:00,Regular Season,RS,TEL,MUN,111,106,E2025
E2025_274,274,2026-02-12T00:00:00+00:00,Regular Season,RS,PAM,ASV,82,67,E2025
E2025_275,275,2026-02-12T00:00:00+00:00,Regular Season,RS,BAR,PRS,74,85,E2025
E2025_276,276,2026-02-13T00:00:00+00:00,Regular Season,RS,PAR,MAD,73,77,E2025
